         11159025653 function calls (10944996819 primitive calls) in 7676.283 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 57156688   16.332    0.000   50.961    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:537(swapaxes)
   969540   12.978    0.000   49.693    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:288(node_to_str)
  2913408    1.109    0.000   49.446    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:394(set_facecolor)
  2913492    2.551    0.000   48.337    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:387(_set_facecolor)
 13614877   26.444    0.000   47.518    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1985(rotate)
   989096    4.102    0.000   46.585    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
  2911224    3.423    0.000   45.637    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:94(draw_path)
  4887337    3.068    0.000   43.469    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:805(from_bounds)
 32435522   43.188    0.000   43.188    0.000 {method 'reduce' of 'numpy.ufunc' objects}
7098207/6120640    2.704    0.000   42.996    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/contextlib.py:132(__enter__)
251630423/251164551   36.830    0.000   41.814    0.000 {built-in method builtins.getattr}
  1957628    0.715    0.000   41.479    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1198(update)
 14303084   11.540    0.000   41.453    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1843(frozen)
   460832    0.692    0.000   40.613    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/frame.py:1111(_values)
  4897165    6.175    0.000   40.481    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:814(from_extents)
 31632447   40.463    0.000   40.463    0.000 {built-in method matplotlib._path.affine_transform}
7098207/6120640    4.116    0.000   40.289    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/contextlib.py:141(__exit__)
  2911224   34.542    0.000   40.068    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   138300    0.087    0.000   39.664    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/frame.py:12590(values)
   138300    2.923    0.000   39.577    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:1633(as_array)
   462344    0.605    0.000   39.418    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:4789(apply)
262704819   38.417    0.000   38.417    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/__init__.py:152(<genexpr>)
   462344    0.571    0.000   37.828    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/apply.py:1409(apply)
   138300    9.969    0.000   36.546    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:1707(_interleave)
   462344    1.775    0.000   36.345    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/apply.py:1482(apply_standard)
 15777582    6.875    0.000   36.062    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:415(pchanged)
  4155174   12.272    0.000   34.504    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/construction.py:517(sanitize_array)
 51172741   24.147    0.000   34.278    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1779(__init__)
  7797637    5.318    0.000   33.685    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2008(rotate_deg)
  5863904   11.726    0.000   32.251    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:436(set_transform)
  1941264   23.107    0.000   31.266    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/cycler/__init__.py:416(by_key)
  1939248   11.295    0.000   30.549    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1467(_get_xy_transform)
 15781110   16.421    0.000   29.198    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:285(process)
71445071/62522561   16.463    0.000   29.177    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:316(stale)
  3686992    1.609    0.000   28.865    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:511(_validate_dtype)
   969540   11.578    0.000   28.580    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:3415(transmute)
 31404774   10.387    0.000   27.353    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:1291(<genexpr>)
  3687160    9.418    0.000   27.259    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1596(pandas_dtype)
 33956122   26.896    0.000   26.896    0.000 {built-in method numpy.array}
  7756656   15.086    0.000   26.845    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/shape_base.py:292(hstack)
  3878160    4.067    0.000   26.828    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:470(cleaned)
 14289130   11.197    0.000   26.783    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:114(_process_radius)
