         123270638918 function calls (121949207503 primitive calls) in 58061.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
310512127  123.720    0.000  224.011    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1350(__add__)
 68237752  197.658    0.000  219.234    0.000 {built-in method matplotlib._path.cleanup_path}
282286160  136.233    0.000  215.910    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:1377(is_math_text)
 18610296   43.345    0.000  215.627    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2848(connect)
266803992   89.450    0.000  215.022    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:158(invalidate)
   110828    0.591    0.000  211.391    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:805(score)
148919874   38.796    0.000  207.446    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/_methods.py:43(_amin)
 18611536  169.604    0.000  200.350    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
148932998   40.226    0.000  197.029    0.000 {method 'max' of 'numpy.ndarray' objects}
105491072   40.445    0.000  193.462    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:281(convert_yunits)
 92182548  192.797    0.000  192.797    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:90(_de_casteljau1)
   166362    0.686    0.000  191.184    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:537(_validate_data)
